,name,filter,pred_omega1,pred_omega2,pred_inc,pred_q,pred_t1_t2,inc,q,omega1,omega2,t1_t2
0,AH Aur,V,2.2906904,2.2906904,1.389387652293097,0.25507855,1.0179471,1.317025453554921,0.16899999999999998,2.08,2.08,1.012050154697932
1,AH Aur,B,2.2583377,2.2583377,1.3641709788794638,0.23326218,1.0464525,1.317025453554921,0.16899999999999998,2.08,2.08,1.012050154697932
2,AKHer,V,6.1779995,6.1779995,1.3333993509060886,2.8284993,1.0748643,1.4259339988793673,0.27,2.3569999999999998,2.3569999999999998,1.051779935275081
3,AKHer,I,6.2107453,6.2107453,1.3697433771443457,2.800054,1.0288769,1.4259339988793673,0.27,2.3569999999999998,2.3569999999999998,1.051779935275081
4,AKHer,R,4.1919603,4.1919603,1.393050564056392,1.3928668,1.0546756,1.4259339988793673,0.27,2.3569999999999998,2.3569999999999998,1.051779935275081
5,AKHer,B,5.4541006,5.4541006,1.3904771514950485,2.221738,1.0536846,1.4259339988793673,0.27,2.3569999999999998,2.3569999999999998,1.051779935275081
6,ASCrB,V,2.3044617,2.3044617,1.3991955419556408,0.25884047,0.9922323,1.3683381335635545,0.172,2.096,2.096,1.000307787011388
7,ASCrB,I,2.3358603,2.3358603,1.3641259714570415,0.27733696,0.97714144,1.3683381335635545,0.172,2.096,2.096,1.000307787011388
8,ASCrB,R,2.3264,2.3264,1.3967182695096492,0.26768214,0.99236876,1.3683381335635545,0.172,2.096,2.096,1.000307787011388
9,ASCrB,B,2.41092,2.41092,1.4036644594228485,0.3109051,0.9943314,1.3683381335635545,0.172,2.096,2.096,1.000307787011388
10,BHCas,V,4.193132,4.193132,1.3607637305808165,1.3855212,1.0358161,1.2374384396639797,0.47,2.783,2.783,0.9440247917877204
11,BHCas,I,4.302262,4.302262,1.3549973210305224,1.4413829,1.0232234,1.2374384396639797,0.47,2.783,2.783,0.9440247917877204
12,BHCas,R,4.242799,4.242799,1.3559147800260547,1.4114096,1.0298238,1.2374384396639797,0.47,2.783,2.783,0.9440247917877204
13,BHCas,B,3.919769,3.919769,1.3586925902010618,1.2151973,1.0442711,1.2374384396639797,0.47,2.783,2.783,0.9440247917877204
14,BQAri,V,2.7364206,2.7364206,1.4547841028630284,0.44513837,1.0239208,1.485100660521975,0.5479999999999999,2.887,2.887,1.0
15,BQAri,R,2.6249263,2.6249263,1.4604923223435042,0.39280188,1.0146155,1.485100660521975,0.5479999999999999,2.887,2.887,1.0
16,BXDra,V,2.4643164,2.4643164,1.3899241460946936,0.30231053,1.0076022,1.4276793281313616,0.29,2.33,2.33,1.034074074074074
17,BXDra,R,2.4932764,2.4932764,1.3928036890233417,0.3197096,0.99967796,1.4276793281313616,0.29,2.33,2.33,1.034074074074074
18,BXDra,B,2.3970625,2.3970625,1.3975073641406397,0.2591425,1.021259,1.4276793281313616,0.29,2.33,2.33,1.034074074074074
19,GSC 0763-0572,V,2.3372688,2.3372688,1.3922529473099132,0.2623005,0.9990969,1.3555972300239958,0.23,2.267,2.267,1.0054205280643471
20,GSC 0763-0572,I,2.3676713,2.3676713,1.381301895749453,0.28077662,0.9916783,1.3555972300239958,0.23,2.267,2.267,1.0054205280643471
21,GSC 0763-0572,R,2.3251646,2.3251646,1.410069628160598,0.25999534,0.99179435,1.3555972300239958,0.23,2.267,2.267,1.0054205280643471
22,HIDra,V,6.2378325,6.2378325,1.1804496152870394,2.853683,0.9953013,0.9553932325416961,0.25,2.3169999999999997,2.3169999999999997,1.068702290076336
23,HIDra,I,5.1795726,5.1795726,1.145077776004716,2.1144543,1.0217446,0.9553932325416961,0.25,2.3169999999999997,2.3169999999999997,1.068702290076336
24,HIDra,R,5.9328947,5.9328947,1.1753400744196134,2.6188695,1.0219405,0.9553932325416961,0.25,2.3169999999999997,2.3169999999999997,1.068702290076336
25,HIDra,B,6.657221,6.657221,1.1837151834156947,3.1505914,0.98162454,0.9553932325416961,0.25,2.3169999999999997,2.3169999999999997,1.068702290076336
26,UVLyn,V,4.140826,4.140826,1.3131183139406992,1.3489053,1.0113885,1.165879940332212,0.36700000000000005,2.559,2.559,0.9653465346534652
27,UVLyn,B,3.5185878,3.5185878,1.3416398371090663,0.9816438,1.0300884,1.165879940332212,0.36700000000000005,2.559,2.559,0.9653465346534652
28,V1128Tau,V,3.561073,3.561073,1.4728640371874673,0.94327384,0.99683976,1.5009831567151235,0.534,2.898,2.898,0.96875
29,V1128Tau,R,3.455403,3.455403,1.5320175055300347,0.9961616,1.003038,1.5009831567151235,0.534,2.898,2.898,0.96875
30,V1128Tau,B,3.647182,3.647182,1.504007042974854,1.0419227,0.9197492,1.5009831567151235,0.534,2.898,2.898,0.96875
31,V2612Oph,V,2.7636607,2.7636607,1.2276635998305636,0.5530558,1.020061,1.1623892818282233,0.28600000000000003,2.396,2.396,0.9952229299363056
32,V2612Oph,I,3.7155263,3.7155263,1.2358946318116717,1.116703,0.99684036,1.1623892818282233,0.28600000000000003,2.396,2.396,0.9952229299363056
33,V2612Oph,R,2.4214556,2.4214556,1.3159411315381289,0.30926758,0.9918514,1.1623892818282233,0.28600000000000003,2.396,2.396,0.9952229299363056
34,V2612Oph,B,2.3443856,2.3443856,1.3446734439067756,0.27086353,0.9973814,1.1623892818282233,0.28600000000000003,2.396,2.396,0.9952229299363056
35,V2790Ori,V,3.2133727,3.2133727,1.5302168091589776,0.7979835,0.95251435,1.4852751934471744,2.932,6.397,6.397,1.03756201275691
36,V2790Ori,R,3.4762442,3.4762442,1.5152995117870625,0.92597663,0.9512314,1.4852751934471744,2.932,6.397,6.397,1.03756201275691
37,V2790Ori,B,3.3201225,3.3201225,1.5233301408961417,0.82175463,0.941435,1.4852751934471744,2.932,6.397,6.397,1.03756201275691
38,V369Mon,V,3.7825656,3.7825656,1.4863907649961978,1.17109,1.0084981,1.4510667401080857,0.39,2.647,2.647,0.9533011272141708
39,V369Mon,B,3.839555,3.839555,1.4779607948816609,1.1775968,0.9898927,1.4510667401080857,0.39,2.647,2.647,0.9533011272141708
40,YZPho,V,2.3878124,2.3878124,1.513657806133083,0.30618092,1.0148691,1.4538592669112764,2.635,6.06,6.06,1.0532188841201715
41,YZPho,I,3.3343058,3.3343058,1.4920482512579076,0.84940004,1.0004076,1.4538592669112764,2.635,6.06,6.06,1.0532188841201715
42,YZPho,R,2.4218054,2.4218054,1.5280035891350674,0.35545012,1.0451192,1.4538592669112764,2.635,6.06,6.06,1.0532188841201715
